acq_date,fires,frp,scan,brightness,max_t,month_sin,month_cos
1136.0,2003-12-12,64.0,7909.3,90.6,352.3671875,31.4,-2.4492935982947064e-16,1.0
1137.0,2003-12-13,130.0,28820.3,224.9,359.2592307692307,32.6,-2.4492935982947064e-16,1.0
1138.0,2003-12-14,98.0,19017.7,130.0,375.41326530612247,32.0,-2.4492935982947064e-16,1.0
1139.0,2003-12-15,23.0,2754.6,29.2,363.204347826087,29.2,-2.4492935982947064e-16,1.0
1140.0,2003-12-16,26.0,2919.9,27.1,372.5230769230769,28.3,-2.4492935982947064e-16,1.0
1141.0,2003-12-17,13.0,1342.9,18.6,348.7846153846154,27.5,-2.4492935982947064e-16,1.0
1142.0,2003-12-18,24.0,3156.4,30.7,368.7625,27.6,-2.4492935982947064e-16,1.0
1143.0,2003-12-19,12.0,1481.5,20.1,346.7583333333334,28.5,-2.4492935982947064e-16,1.0
1144.0,2003-12-20,18.0,2503.0,29.3,355.6388888888889,29.7,-2.4492935982947064e-16,1.0
1145.0,2003-12-21,33.0,5553.7,44.3,365.0818181818182,31.6,-2.4492935982947064e-16,1.0
1146.0,2003-12-22,19.0,8212.4,52.5,364.4526315789474,32.2,-2.4492935982947064e-16,1.0
1147.0,2003-12-23,23.0,2962.8,26.9,365.2347826086957,32.3,-2.4492935982947064e-16,1.0
1148.0,2003-12-24,3.0,1132.5,8.7,361.7,29.6,-2.4492935982947064e-16,1.0
1149.0,2003-12-25,3.0,332.6,3.2,367.4666666666667,31.9,-2.4492935982947064e-16,1.0
1150.0,2003-12-26,1.0,66.5,1.0,355.1,34.5,-2.4492935982947064e-16,1.0
1151.0,2003-12-27,34.0,21765.7,93.5,368.2029411764706,33.0,-2.4492935982947064e-16,1.0
1152.0,2003-12-28,20.0,4076.9,30.2,358.92,28.5,-2.4492935982947064e-16,1.0
1153.0,2003-12-29,38.0,12255.1,55.7,377.9710526315789,27.3,-2.4492935982947064e-16,1.0
1154.0,2003-12-30,34.0,4591.3,56.5,352.8970588235294,28.0,-2.4492935982947064e-16,1.0
1155.0,2003-12-31,34.0,2924.2,47.6,341.0764705882353,28.7,-2.4492935982947064e-16,1.0
1156.0,2004-01-01,45.0,5159.7,56.3,364.6066666666666,29.2,0.49999999999999994,0.8660254037844387
1157.0,2004-01-02,63.0,5973.5,97.0,339.6904761904762,29.8,0.49999999999999994,0.8660254037844387
1158.0,2004-01-03,89.0,18863.9,128.2,365.4134831460674,29.6,0.49999999999999994,0.8660254037844387
1159.0,2004-01-04,123.0,44666.0,213.6,368.8008130081301,29.2,0.49999999999999994,0.8660254037844387
1160.0,2004-01-05,123.0,29415.0,213.0,351.8447154471545,30.8,0.49999999999999994,0.8660254037844387
1161.0,2004-01-06,79.0,13048.4,120.7,353.43037974683546,32.7,0.49999999999999994,0.8660254037844387
1162.0,2004-01-07,28.0,19656.8,53.5,382.04285714285714,34.2,0.49999999999999994,0.8660254037844387
1163.0,2004-01-08,55.0,7690.2,59.7,362.0563636363636,38.0,0.49999999999999994,0.8660254037844387
1164.0,2004-01-09,33.0,6228.5,59.7,353.2090909090909,31.3,0.49999999999999994,0.8660254037844387
1165.0,2004-01-10,22.0,3338.1,28.4,362.34090909090907,32.1,0.49999999999999994,0.8660254037844387
1166.0,2004-01-11,8.0,878.8,11.4,357.0,31.6,0.49999999999999994,0.8660254037844387
1167.0,2004-01-12,3.0,128.10000000000002,3.1,341.26666666666665,31.4,0.49999999999999994,0.8660254037844387
1168.0,2004-01-13,1.0,65.7,1.2,341.8,31.8,0.49999999999999994,0.8660254037844387
1169.0,2004-01-14,19.0,5343.1,39.2,364.0473684210526,31.1,0.49999999999999994,0.8660254037844387
1170.0,2004-01-15,7.0,1563.2,9.0,373.1428571428572,28.4,0.49999999999999994,0.8660254037844387
1171.0,2004-01-16,4.0,455.0,6.1,359.6,30.2,0.49999999999999994,0.8660254037844387
1172.0,2004-01-17,18.0,1571.4,21.9,348.3111111111112,32.9,0.49999999999999994,0.8660254037844387
1173.0,2004-01-18,10.0,1394.8,15.0,356.71,34.4,0.49999999999999994,0.8660254037844387
1174.0,2004-01-19,24.0,4647.6,50.9,349.1083333333333,27.0,0.49999999999999994,0.8660254037844387
1175.0,2004-01-20,39.0,6389.2,75.7,352.14102564102564,27.1,0.49999999999999994,0.8660254037844387
1176.0,2004-01-21,19.0,4747.9,34.7,358.1263157894737,28.6,0.49999999999999994,0.8660254037844387
1177.0,2004-01-22,31.0,3759.6,39.2,358.03225806451616,30.7,0.49999999999999994,0.8660254037844387
1178.0,2004-01-23,38.0,5440.2,53.0,354.2578947368421,31.0,0.49999999999999994,0.8660254037844387
1179.0,2004-01-24,103.0,34195.6,164.3,379.05631067961167,32.1,0.49999999999999994,0.8660254037844387
1180.0,2004-01-25,82.0,11648.0,132.8,348.28536585365856,31.7,0.49999999999999994,0.8660254037844387
1181.0,2004-01-26,54.0,6627.900000000001,66.1,365.6537037037037,30.4,0.49999999999999994,0.8660254037844387
1182.0,2004-01-27,59.0,10744.9,90.6,353.2983050847457,30.7,0.49999999999999994,0.8660254037844387
1183.0,2004-01-28,16.0,1670.6,21.9,348.4,34.0,0.49999999999999994,0.8660254037844387
1184.0,2004-01-29,24.0,2027.8,30.3,349.08750000000003,35.0,0.49999999999999994,0.8660254037844387
1185.0,2004-01-30,30.0,7078.0,37.0,373.8566666666667,33.6,0.49999999999999994,0.8660254037844387
1186.0,2004-01-31,38.0,11973.3,49.400000000000006,389.3421052631579,34.8,0.49999999999999994,0.8660254037844387
1187.0,2004-02-01,28.0,2589.0,30.8,351.88214285714287,34.6,0.8660254037844386,0.5000000000000001
1188.0,2004-02-02,19.0,3462.2,22.2,378.4052631578948,31.0,0.8660254037844386,0.5000000000000001
1189.0,2004-02-03,19.0,2329.9,22.0,368.5842105263158,25.6,0.8660254037844386,0.5000000000000001
1190.0,2004-02-04,8.0,2615.5,15.6,363.7,28.7,0.8660254037844386,0.5000000000000001
1191.0,2004-02-05,1.0,89.2,1.0,363.1,27.9,0.8660254037844386,0.5000000000000001
1192.0,2004-02-06,8.0,589.8000000000001,10.1,339.9375,28.9,0.8660254037844386,0.5000000000000001
1193.0,2004-02-07,1.0,136.1,1.9,352.0,29.6,0.8660254037844386,0.5000000000000001
1194.0,2004-02-08,8.0,1189.3,14.4,353.625,29.6,0.8660254037844386,0.5000000000000001
1195.0,2004-02-09,9.0,794.6,16.7,339.9111111111111,31.4,0.8660254037844386,0.5000000000000001
1196.0,2004-02-10,34.0,4686.7,51.5,345.54411764705884,32.4,0.8660254037844386,0.5000000000000001
1197.0,2004-02-11,26.0,3633.0,45.7,350.94615384615383,32.7,0.8660254037844386,0.5000000000000001
1198.0,2004-02-12,15.0,3424.9,24.8,360.54,33.2,0.8660254037844386,0.5000000000000001
1199.0,2004-02-13,8.0,301.2,8.0,337.95,33.5,0.8660254037844386,0.5000000000000001
1200.0,2004-02-14,7.0,713.4,9.9,355.9714285714286,32.4,0.8660254037844386,0.5000000000000001
1201.0,2004-02-15,5.0,310.0,8.6,328.88,34.7,0.8660254037844386,0.5000000000000001
1203.0,2004-02-17,12.0,683.1,15.4,337.84166666666664,30.5,0.8660254037844386,0.5000000000000001
1204.0,2004-02-18,25.0,3103.6,33.9,346.28,32.5,0.8660254037844386,0.5000000000000001
1205.0,2004-02-19,2.0,141.6,3.2,334.75,34.8,0.8660254037844386,0.5000000000000001
1206.0,2004-02-20,10.0,639.5,11.3,348.0,33.5,0.8660254037844386,0.5000000000000001
1207.0,2004-02-21,8.0,538.5,14.2,335.0,40.8,0.8660254037844386,0.5000000000000001
1208.0,2004-02-22,1.0,77.6,1.2,359.0,41.7,0.8660254037844386,0.5000000000000001
1210.0,2004-02-24,3.0,91.4,3.6,324.8666666666667,29.9,0.8660254037844386,0.5000000000000001
1211.0,2004-02-25,3.0,137.0,3.0,338.6666666666667,33.0,0.8660254037844386,0.5000000000000001
1212.0,2004-02-26,2.0,428.5,3.7,351.9,30.1,0.8660254037844386,0.5000000000000001
1213.0,2004-02-27,8.0,625.4,11.1,339.8625,29.7,0.8660254037844386,0.5000000000000001
1214.0,2004-02-28,7.0,890.0,11.2,348.35714285714283,30.3,0.8660254037844386,0.5000000000000001
1215.0,2004-02-29,8.0,777.4,11.9,343.375,32.2,0.8660254037844386,0.5000000000000001
1216.0,2004-03-01,24.0,6794.2,31.9,383.4083333333333,28.6,1.0,6.123233995736766e-17
1217.0,2004-03-02,1.0,17.0,1.0,318.4,27.8,1.0,6.123233995736766e-17
1218.0,2004-03-03,10.0,1079.0,10.3,365.82,27.2,1.0,6.123233995736766e-17
1219.0,2004-03-04,22.0,3319.6,33.6,357.85,28.5,1.0,6.123233995736766e-17
